Date,Close,Open,High,Low,Volume,Change
17/04/2020,24242.49,23817.15,24264.21,23817.15,53028000000,0.03
16/04/2020,23537.68,23543.66,23598.08,23211.38,47862000000,0.00
15/04/2020,23504.35,23600.72,23649.72,23233.32,44215000000,-0.02
14/04/2020,23949.76,23690.57,24040.58,23683.44,48796000000,0.02
13/04/2020,23390.77,23698.93,23698.93,23095.35,39656000000,-0.01
9/4/2020,23719.37,23690.66,24008.99,23504.09,56872000000,0.01
8/4/2020,23433.57,22893.47,23513.4,22682.99,47609000000,0.03
7/4/2020,22653.86,23537.44,23617.24,22634.45,59587000000,0.00
6/4/2020,22679.99,21693.63,22783.45,21693.63,61420000000,0.08
3/4/2020,21052.53,21285.93,21447.81,20863.09,45162000000,-0.02
2/4/2020,21413.44,20819.46,21477.77,20735.02,53467000000,0.02
1/4/2020,20943.51,21227.38,21487.24,20784.43,50831000000,-0.04
31/03/2020,21917.16,22208.42,22480.37,21852.08,57359000000,-0.02
30/03/2020,22327.48,21678.22,22378.09,21522.08,54685000000,0.03
27/03/2020,21636.78,21898.47,22327.57,21469.27,59133000000,-0.04
26/03/2020,22552.17,21468.38,22595.06,21427.1,71373000000,0.06
25/03/2020,21200.55,21050.34,22019.93,20538.34,80331000000,0.02
24/03/2020,20704.91,19722.19,20737.7,19649.25,80847000000,0.11
23/03/2020,18591.93,19028.36,19121.01,18213.65,80124000000,-0.03
20/03/2020,19173.98,20253.15,20531.26,19094.27,87229000000,-0.05
19/03/2020,20087.19,19830.01,20442.63,19177.13,79580000000,0.01
18/03/2020,19898.92,20188.69,20489.33,18917.46,87409000000,-0.06
17/03/2020,21237.38,20487.05,21379.35,19882.26,79584000000,0.05
16/03/2020,20188.52,20917.53,21768.28,20116.46,77591000000,-0.13
13/03/2020,23185.62,21973.82,23189.76,21285.37,84308000000,0.09
12/3/2020,21200.62,22184.71,22837.95,21154.46,91177000000,-0.10
11/3/2020,23553.22,24604.63,24604.63,23328.32,66396000000,-0.06
10/3/2020,25018.16,24453,25020.99,23690.34,65486000000,0.05
9/3/2020,23851.02,24992.36,24992.36,23706.07,75043000000,-0.08
6/3/2020,25864.78,25457.21,25994.38,25226.62,60101000000,-0.01
5/3/2020,26121.28,26671.92,26671.92,25943.33,47737000000,-0.04
4/3/2020,27090.86,26383.68,27102.34,26286.31,45759000000,0.05
3/3/2020,25917.41,26762.47,27084.59,25706.28,64708000000,-0.03
2/3/2020,26703.32,25590.51,26706.17,25391.96,63720000000,0.05
